                                                                   Unnamed: 0  Mã số  Thuyết minh            2018 VND            2017 VND
0                                      Doanh thu bán hàng và cung cấp dịch vụ      1         27.0  33.866.663.626.058  22.643.635.566.720
1                                        Giá vốn hàng bán và cung cấp dịch vụ     11         28.0  29.081.230.936.008  19.332.152.371.327
2                Lợi nhuận gộp từ bán hàng và cung cấp dịch vụ (20 = 01 - 11)     20          NaN   4.785.432.690.050   3.311.483.195.393
3                                               Doanh thu hoạt động tài chính     21         29.0     317.974.861.113     119.177.084.027
4                                                           Chi phí tài chính     22         30.0     917.353.597.510     520.491.970.943
5                                                   Trong đó: Chi phí lãi vay     23          NaN     257.505.446.656     237.597.428.875
6                                                            Chi phí bán hàng     25         31.0     868.275.625.696     654.224.092.692
7                                                Chi phí quản lý doanh nghiệp     26         32.0     278.263.940.261     214.833.658.781
8   Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)}     30          NaN   3.039.514.387.696   2.041.110.557.004
9                                                               Thu nhập khác     31          NaN       5.872.706.313       5.742.377.818
10                                                               Chi phí khác     32          NaN         107.090.542       1.522.911.752
11                               Kết quả từ các hoạt động khác (40 = 31 - 32)     40          NaN       5.765.615.771       4.219.466.066
12                                Lợi nhuận kế toán trước thuế (50 = 30 + 40)     50          NaN   3.045.280.003.467   2.045.330.023.070
13                                                Chi phí thuế TNDN hiện hành     51         34.0     253.461.727.751     163.475.878.977
14                                                 Chi phí thuế TNDN hoãn lại     52         34.0     227.241.605.086      65.074.981.322
15                                Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52)     60          NaN   2.564.576.670.630   1.816.779.162.771
